Meetdatum,Stroom 1 (kWh),Stroom 2 (kWh),Teruglevering 1 (kWh),Teruglevering 2 (kWh),Gas 1 (m³),Opmerkingen
14 sep. 2022,223,202,645,1.011,,Smartmeter
13 sep. 2022,223,198,645,999,,Smartmeter
12 sep. 2022,222,194,645,989,,Smartmeter
11 sep. 2022,218,194,633,989,,Smartmeter
10 sep. 2022,215,194,629,989,,Smartmeter
9 sep. 2022,214,191,629,981,,Smartmeter
8 sep. 2022,214,188,629,979,,Smartmeter
7 sep. 2022,213,185,629,971,,Smartmeter
6 sep. 2022,212,183,629,960,,Smartmeter
5 sep. 2022,211,181,629,946,,Smartmeter
4 sep. 2022,208,181,613,946,,Smartmeter
3 sep. 2022,205,181,595,946,,Smartmeter
2 sep. 2022,204,178,595,928,,Smartmeter
1 sep. 2022,204,175,595,915,,Smartmeter
31 aug. 2022,203,172,595,900,,Smartmeter
30 aug. 2022,202,170,595,882,,Smartmeter
29 aug. 2022,201,167,595,876,,Smartmeter
28 aug. 2022,199,167,579,876,,Smartmeter
27 aug. 2022,196,167,570,876,,Smartmeter
26 aug. 2022,195,162,570,875,,Smartmeter
25 aug. 2022,194,160,570,859,,Smartmeter
24 aug. 2022,193,158,570,844,,Smartmeter
23 aug. 2022,192,154,570,828,,Smartmeter
22 aug. 2022,191,152,570,812,,Smartmeter
21 aug. 2022,190,152,553,812,,Smartmeter
20 aug. 2022,188,152,535,812,,Smartmeter
19 aug. 2022,187,150,535,797,,Smartmeter
18 aug. 2022,186,148,535,788,,Smartmeter
17 aug. 2022,186,143,535,782,,Smartmeter
16 aug. 2022,185,140,535,766,,Smartmeter
15 aug. 2022,184,137,535,757,,Smartmeter
14 aug. 2022,181,137,515,757,,Smartmeter
13 aug. 2022,180,137,491,757,,Smartmeter
12 aug. 2022,179,137,491,732,,Smartmeter
11 aug. 2022,179,137,491,707,,Smartmeter
10 aug. 2022,178,137,491,682,,Smartmeter
9 aug. 2022,178,136,491,658,,Smartmeter
8 aug. 2022,177,136,490,641,,Smartmeter
7 aug. 2022,177,136,467,641,,Smartmeter
6 aug. 2022,176,136,444,641,,Smartmeter
5 aug. 2022,176,136,444,618,,Smartmeter
4 aug. 2022,175,136,443,599,,Smartmeter
3 aug. 2022,175,136,443,572,,Smartmeter
2 aug. 2022,174,136,443,549,,Smartmeter
1 aug. 2022,174,135,443,526,,Smartmeter
31 jul. 2022,171,135,438,526,,Smartmeter
30 jul. 2022,169,135,420,526,,Smartmeter
29 jul. 2022,168,133,420,515,,Smartmeter
28 jul. 2022,168,130,420,504,,Smartmeter
27 jul. 2022,167,128,420,490,,Smartmeter
26 jul. 2022,166,125,420,480,,Smartmeter
25 jul. 2022,166,122,420,474,,Smartmeter
24 jul. 2022,163,122,404,474,,Smartmeter
23 jul. 2022,160,122,389,474,,Smartmeter
22 jul. 2022,159,120,389,468,,Smartmeter
21 jul. 2022,158,115,389,461,,Smartmeter
20 jul. 2022,157,114,388,440,,Smartmeter
19 jul. 2022,156,112,388,418,,Smartmeter
18 jul. 2022,155,111,388,401,,Smartmeter
17 jul. 2022,153,111,369,401,,Smartmeter
16 jul. 2022,152,111,347,401,,Smartmeter
15 jul. 2022,151,108,347,392,,Smartmeter
14 jul. 2022,150,106,347,376,,Smartmeter
13 jul. 2022,149,105,347,355,,Smartmeter
12 jul. 2022,148,103,347,339,,Smartmeter
11 jul. 2022,147,100,347,332,,Smartmeter
10 jul. 2022,145,100,340,332,,Smartmeter
9 jul. 2022,143,100,323,332,,Smartmeter
8 jul. 2022,142,98,323,317,,Smartmeter
7 jul. 2022,142,96,323,305,,Smartmeter
6 jul. 2022,141,93,322,292,,Smartmeter
5 jul. 2022,140,92,322,275,,Smartmeter
4 jul. 2022,140,91,322,254,,Smartmeter
3 jul. 2022,137,91,305,254,,Smartmeter
2 jul. 2022,134,91,283,254,,Smartmeter
1 jul. 2022,133,89,283,244,,Smartmeter
30 jun. 2022,133,87,283,232,,Smartmeter
29 jun. 2022,132,85,283,217,,Smartmeter
28 jun. 2022,132,82,282,201,,Smartmeter
27 jun. 2022,131,76,282,200,,Smartmeter
26 jun. 2022,129,76,272,200,,Smartmeter
25 jun. 2022,126,76,261,200,,Smartmeter
24 jun. 2022,125,73,260,197,,Smartmeter
23 jun. 2022,125,69,260,180,,Smartmeter
22 jun. 2022,124,67,259,165,,Smartmeter
21 jun. 2022,124,65,259,150,,Smartmeter
20 jun. 2022,123,63,258,136,,Smartmeter
19 jun. 2022,116,63,255,136,,Smartmeter
18 jun. 2022,114,63,239,136,,Smartmeter
17 jun. 2022,113,61,239,129,,Smartmeter
