Datum,Stroom_diff,Teruglevering_diff,Teruglevering_mean,Stroom_mean
2022-08-30,3.0,18.0,17.533333333333335,2.2
2022-08-29,4.0,6.0,17.533333333333335,2.2
2022-08-28,2.0,16.0,17.533333333333335,2.2
2022-08-27,3.0,9.0,17.533333333333335,2.2
2022-08-26,6.0,1.0,17.533333333333335,2.2
2022-08-25,3.0,16.0,17.533333333333335,2.2
2022-08-24,3.0,15.0,17.533333333333335,2.2
2022-08-23,5.0,16.0,17.533333333333335,2.2
2022-08-22,3.0,16.0,17.533333333333335,2.2
2022-08-21,1.0,17.0,17.533333333333335,2.2
2022-08-20,2.0,18.0,17.533333333333335,2.2
2022-08-19,3.0,15.0,17.533333333333335,2.2
2022-08-18,3.0,9.0,17.533333333333335,2.2
2022-08-17,5.0,6.0,17.533333333333335,2.2
2022-08-16,4.0,16.0,17.533333333333335,2.2
2022-08-15,4.0,9.0,17.533333333333335,2.2
2022-08-14,3.0,20.0,17.533333333333335,2.2
2022-08-13,1.0,24.0,17.533333333333335,2.2
2022-08-12,1.0,25.0,17.533333333333335,2.2
2022-08-11,0.0,25.0,17.533333333333335,2.2
2022-08-10,1.0,25.0,17.533333333333335,2.2
2022-08-09,1.0,24.0,17.533333333333335,2.2
2022-08-08,1.0,18.0,17.533333333333335,2.2
2022-08-07,0.0,23.0,17.533333333333335,2.2
2022-08-06,1.0,23.0,17.533333333333335,2.2
2022-08-05,0.0,23.0,17.533333333333335,2.2
2022-08-04,1.0,20.0,17.533333333333335,2.2
2022-08-03,0.0,27.0,17.533333333333335,2.2
2022-08-02,1.0,23.0,17.533333333333335,2.2
2022-08-01,1.0,23.0,17.533333333333335,2.2
